,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList
0,order,Struthioniformes,,,Struthioniformes,
1,family,Struthioniformes,Struthionidae,Ostriches,Struthionidae,
2,genus,Struthioniformes,Struthionidae,Ostriches,Struthio,
3,species,Struthioniformes,Struthionidae,Ostriches,Struthio molybdophanes,Somali Ostrich
4,species,Struthioniformes,Struthionidae,Ostriches,Struthio camelus,Common Ostrich
5,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus syriacus,
6,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus camelus,
7,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus massaicus,
8,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus australis,
9,order,Casuariiformes,,,Casuariiformes,
10,family,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuariidae,
11,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius,
12,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae,Emu
13,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae novaehollandiae,
14,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae diemenensis,
15,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae minor,
16,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae baudinianus,
17,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius,
18,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius casuarius,Southern Cassowary
19,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti,Dwarf Cassowary
20,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti westermanni,
21,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti bennetti,
22,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius unappendiculatus,Northern Cassowary
23,order,Apterygiformes,,,Apterygiformes,
24,family,Apterygiformes,Apterygidae,Kiwis,Apterygidae,
25,genus,Apterygiformes,Apterygidae,Kiwis,Apteryx,
26,species,Apterygiformes,Apterygidae,Kiwis,Apteryx owenii,Little Spotted Kiwi
27,species,Apterygiformes,Apterygidae,Kiwis,Apteryx maxima,Great Spotted Kiwi
28,species,Apterygiformes,Apterygidae,Kiwis,Apteryx australis,Southern Brown Kiwi
29,subspecies,Apterygiformes,Apterygidae,Kiwis,Apteryx australis australis,
30,subspecies,Apterygiformes,Apterygidae,Kiwis,Apteryx australis lawryi,
31,species,Apterygiformes,Apterygidae,Kiwis,Apteryx rowi,Okarito Kiwi
32,species,Apterygiformes,Apterygidae,Kiwis,Apteryx mantelli,North Island Brown Kiwi
33,order,Rheiformes,,,Rheiformes,
34,family,Rheiformes,Rheidae,Rheas,Rheidae,
35,genus,Rheiformes,Rheidae,Rheas,Rhea,
36,species,Rheiformes,Rheidae,Rheas,Rhea pennata,Lesser Rhea
37,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata garleppi,
38,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata tarapacensis,
39,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata pennata,
40,species,Rheiformes,Rheidae,Rheas,Rhea americana,Greater Rhea
41,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana americana,
42,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana intermedia,
43,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana nobilis,
44,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana araneipes,
45,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana albescens,
46,order,Tinamiformes,,,Tinamiformes,
47,family,Tinamiformes,Tinamidae,Tinamous,Tinamidae,
48,genus,Tinamiformes,Tinamidae,Tinamous,Tinamotis,
49,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis pentlandii,Puna Tinamou
50,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis ingoufi,Patagonian Tinamou
51,genus,Tinamiformes,Tinamidae,Tinamous,Eudromia,
52,species,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa,Quebracho Crested Tinamou
53,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa formosa,
54,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa mira,
55,species,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans,Elegant Crested Tinamou
56,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans intermedia,
57,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans magnistriata,
58,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans riojana,
59,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans albida,
60,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans wetmorei,
61,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans numida,
62,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans elegans,
63,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans multiguttata,
64,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans devia,
65,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans patagonica,
66,genus,Tinamiformes,Tinamidae,Tinamous,Taoniscus,
67,species,Tinamiformes,Tinamidae,Tinamous,Taoniscus nanus,Dwarf Tinamou
68,genus,Tinamiformes,Tinamidae,Tinamous,Nothura,
69,species,Tinamiformes,Tinamidae,Tinamous,Nothura boraquira,White-bellied Nothura
70,species,Tinamiformes,Tinamidae,Tinamous,Nothura minor,Lesser Nothura
71,species,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii,Darwin's Nothura
72,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii peruviana,
73,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii agassizii,
74,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii boliviana,
75,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii salvadorii,
76,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii darwinii,
77,species,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa,Spotted Nothura
78,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa cearensis,
79,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa major,
80,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa paludivaga,
81,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa maculosa,
82,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa pallida,
83,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa annectens,
84,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa submontana,
85,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa nigroguttata,
86,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa chacoensis,
87,genus,Tinamiformes,Tinamidae,Tinamous,Rhynchotus,
88,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus maculicollis,Huayco Tinamou
89,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens,Red-winged Tinamou
90,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens catingae,
91,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens pallescens,
