Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,German_name,Status,Rl-status
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura leucocephala,White-headed Duck,Weißkopf-Ruderente,Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis,Ruddy Duck,Schwarzkopf-Ruderente,seltener Jahresvogel, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus olor,Mute Swan,Höckerschwan,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus cygnus,Whooper Swan,Singschwan,"seltener Brutvogel; Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla,Brant Goose,Ringelgans,"Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta ruficollis,Red-breasted Goose,Rothalsgans,"seltener Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis,Canada Goose,Kanadagans,"eingeführter Brut-, Jahresvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta leucopsis,Barnacle Goose,Weißwangengans,"Brut-, Jahresvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser indicus,Bar-headed Goose,Streifengans,"eingeführter, seltener Jahres-, Zugvogel", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser anser,Greylag Goose,Graugans,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser erythropus,Lesser White-fronted Goose,Zwerggans,seltener Zugvogel und Wintergast, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser albifrons,Greater White-fronted Goose,Blässgans,"Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser serrirostris,Tundra Bean Goose,Tundrasaatgans,"Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser brachyrhynchus,Pink-footed Goose,Kurzschnabelgans,"Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser fabalis,Taiga Bean Goose,Waldsaatgans,"Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aix galericulata,Mandarin Duck,Mandarinente,"eingeführter Brut-, Jahresvogel", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Alopochen aegyptiaca,Egyptian Goose,Nilgans,"eingeführter Brut-, Jahresvogel", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna tadorna,Common Shelduck,Brandgans,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna ferruginea,Ruddy Shelduck,Rostgans,"eingeführter Brut-, Jahresvogel, seltener Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Clangula hyemalis,Long-tailed Duck,Eisente,"Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Polysticta stelleri,Steller's Eider,Scheckente,Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria spectabilis,King Eider,Prachteiderente,Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria mollissima,Common Eider,Eiderente,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Histrionicus histrionicus,Harlequin Duck,Kragenente,besondere Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta nigra,Common Scoter,Trauerente,"Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta perspicillata,Surf Scoter,Brillenente,besondere Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta fusca,Velvet Scoter,Samtente,"Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta stejnegeri,Stejneger's Scoter,Kamtschatkasamtente,besondere Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Bucephala islandica,Barrow's Goldeneye,Spatelente,besondere Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Bucephala clangula,Common Goldeneye,Schellente,"Brut-, Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus serrator,Red-breasted Merganser,Mittelsäger,"Brut-, Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus merganser,Common Merganser,Gänsesäger,"Brut-, Zugvogel, Wintergast",3
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Marmaronetta angustirostris,Marbled Duck,Marmelente,besondere Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Netta rufina,Red-crested Pochard,Kolbenente,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya nyroca,Ferruginous Duck,Moorente,"seltener, lokaler Brut-, Zugvogel, Wintergast",1
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya ferina,Common Pochard,Tafelente,"Brut-, Jahres-, Zugvogel, Wintergast",V
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya collaris,Ring-necked Duck,Ringschnabelente,Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya fuligula,Tufted Duck,Reiherente,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya affinis,Lesser Scaup,Kanadabergente,besondere Ausnahmeerscheinung, 
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya marila,Greater Scaup,Bergente,"lokaler Brutvogel; Jahres-, Zugvogel, Wintergast",R
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Spatula querquedula,Garganey,Knäkente,"Brut-, Zugvogel",1
species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Spatula discors,Blue-winged Teal,Blauflügelente,Ausnahmeerscheinung, 
